shortname,type_constant,class_name,fullname,status,header_file,notes
cxd8530bq,CXD8530BQ,cxd8530bq_device,Sony CXD8530BQ,broken_validate,cpu/psx/psx.h,Crashes during validation
cxd8530cq,CXD8530CQ,cxd8530cq_device,Sony CXD8530CQ,broken_validate,cpu/psx/psx.h,Crashes during validation
cxd8606bq,CXD8606BQ,cxd8606bq_device,Sony CXD8606BQ,broken_validate,cpu/psx/psx.h,Crashes during validation
cxd8606cq,CXD8606CQ,cxd8606cq_device,Sony CXD8606CQ,broken_validate,cpu/psx/psx.h,Crashes during validation
cxd8661r,CXD8661R,cxd8661r_device,Sony CXD8661R,broken_validate,cpu/psx/psx.h,Crashes during validation
deco16,DECO16,deco16_device,Data East DECO16,working,cpu/m6502/deco16.h,
ds5002fp,DS5002FP,ds5002fp_device,Dallas DS5002FP,working,cpu/mcs51/ds5002fp.h,
ds80c320,DS80C320,ds80c320_device,Dallas DS80C320 HSM,working,cpu/mcs51/i80c52.h,
dsp32c,DSP32C,dsp32c_device,AT&T DSP32C,broken_validate,cpu/dsp32/dsp32.h,Test failed: Unknown error -11 (exit -11)
dsp56000,DSP56000,dsp56000_device,Motorola DSP56000,working,cpu/dsp56000/dsp56000.h,
dsp56001,DSP56001,dsp56001_device,Motorola DSP56001,working,cpu/dsp56000/dsp56000.h,
dsp56303,DSP56303,dsp56303_device,Motorola DSP56303,broken_validate,cpu/dsp563xx/dsp56303.h,Test failed: Missing files (exit 2)
eisa_dma,EISA_DMA,eisa_dma_device,EISA DMA,not_cpu,,DMA controller
g65sc02,G65SC02,g65sc02_device,GTE G65SC02,working,cpu/m6502/g65sc02.h,
g65sc102,G65SC102,g65sc102_device,GTE G65SC102,working,cpu/m6502/g65sc02.h,
g65sc112,G65SC112,g65sc112_device,GTE G65SC112,working,cpu/m6502/g65sc02.h,
g65sc12,G65SC12,g65sc12_device,GTE G65SC12,working,cpu/m6502/g65sc02.h,
h6280,H6280,h6280_device,Hudson Soft HuC6280,working,cpu/h6280/h6280.h,
h83002,H83002,h83002_device,Hitachi H8/3002,working,cpu/h8/h83002.h,
h83003,H83003,h83003_device,Hitachi H8/3003,working,cpu/h8/h83003.h,
h83006,H83006,h83006_device,Hitachi H8/3006,working,cpu/h8/h83006.h,
h83007,H83007,h83007_device,Hitachi H8/3007,working,cpu/h8/h83006.h,
h83008,H83008,h83008_device,Hitachi H8/3008,working,cpu/h8/h83008.h,
h83044,H83044,h83044_device,Hitachi H8/3044,working,cpu/h8/h83048.h,
h83045,H83045,h83045_device,Hitachi H8/3045,working,cpu/h8/h83048.h,
h83047,H83047,h83047_device,Hitachi H8/3047,working,cpu/h8/h83048.h,
h83048,H83048,h83048_device,Hitachi H8/3048,working,cpu/h8/h83048.h,
hd6120,HD6120,hd6120_device,Harris HD-6120,working,cpu/pdp8/hd6120.h,
hd6301v1,HD6301V1,hd6301v1_cpu_device,Hitachi HD6301V1,needs_internal_rom,cpu/m6800/m6801.h,Requires internal ROM/RAM regions not provided by ZBC
hd6301x0,HD6301X0,hd6301x0_cpu_device,Hitachi HD6301X0,needs_internal_rom,cpu/m6800/m6801.h,Requires internal ROM/RAM regions not provided by ZBC
hd6301y0,HD6301Y0,hd6301y0_cpu_device,Hitachi HD6301Y0,needs_internal_rom,cpu/m6800/m6801.h,Requires internal ROM/RAM regions not provided by ZBC
hd6303r,HD6303R,hd6303r_cpu_device,Hitachi HD6303R,working,cpu/m6800/m6801.h,
hd6303x,HD6303X,hd6303x_cpu_device,Hitachi HD6303X,broken_validate,cpu/m6800/m6801.h,Test failed: Unknown error -11 (exit -11)
hd6303y,HD6303Y,hd6303y_cpu_device,Hitachi HD6303Y,broken_validate,cpu/m6800/m6801.h,Test failed: Unknown error -11 (exit -11)
hd6309,HD6309,hd6309_device,Hitachi HD6309,working,cpu/m6809/hd6309.h,
hd6309e,HD6309E,hd6309e_device,Hitachi HD6309E,working,cpu/m6809/hd6309.h,
hd63701v0,HD63701V0,hd63701v0_cpu_device,Hitachi HD63701V0,needs_internal_rom,cpu/m6800/m6801.h,Requires internal ROM/RAM regions not provided by ZBC
hd63701x0,HD63701X0,hd63701x0_cpu_device,Hitachi HD63701X0,needs_internal_rom,cpu/m6800/m6801.h,Requires internal ROM/RAM regions not provided by ZBC
hd63701y0,HD63701Y0,hd63701y0_cpu_device,Hitachi HD63701Y0,needs_internal_rom,cpu/m6800/m6801.h,Requires internal ROM/RAM regions not provided by ZBC
hd64180rp,HD64180RP,hd64180rp_device,Hitachi HD64180RP,working,cpu/z180/z180.h,
hd6801v0,HD6801V0,hd6801v0_cpu_device,Hitachi HD6801V0,needs_internal_rom,cpu/m6800/m6801.h,Requires internal ROM/RAM regions not provided by ZBC
i386,I386,i386_device,Intel I386,working,cpu/i386/i386.h,
